time,housing_price,housing_price_corrected_LSTM_forecast,housing_price_LSTM_forecast
19-Jan,242334,,
19-Feb,243284,,
19-Mar,244100,,
19-Apr,244805,,
19-May,245456,,
19-Jun,246063,,
19-Jul,246620,,
19-Aug,247184,,
19-Sep,247823,,
19-Oct,248542,,
19-Nov,249284,,
19-Dec,250119,,
20-Jan,251112,,
20-Feb,252267,,
20-Mar,253564,,
20-Apr,254796,,
20-May,255651,,
20-Jun,256364,,
20-Jul,257473,,
20-Aug,259406,,
20-Sep,261939,,
20-Oct,264784,,
20-Nov,267836,,
20-Dec,270908,,
21-Jan,274170,,
21-Feb,277558,,
21-Mar,281248,,
21-Apr,285144,,
21-May,289896,,
21-Jun,295475,,
21-Jul,301414,,
21-Aug,306859,,
21-Sep,311526,,
21-Oct,315661,,
21-Nov,319583,,
21-Dec,323955,,
22-Jan,328698,,
22-Feb,333926,,
22-Mar,339207,,
22-Apr,344773,,
22-May,349816,,
22-Jun,,354616.3561,354616.2475
22-Jul,,359369.9296,359619.8643
22-Aug,,364141.7757,364695.6967
22-Sep,,368902.3178,369799.1165
22-Oct,,373678.0238,374984.1762
22-Nov,,378354.3924,380123.1268
22-Dec,,382907.4825,385189.9961
23-Jan,,387312.8326,390124.0306
23-Feb,,391559.9008,394902.5958
23-Mar,,395548.1963,399518.0147
23-Apr,,399343.1981,404001.8175
23-May,,402899.4476,408425.7291
23-Jun,,406181.4006,412792.5909
23-Jul,,409271.5034,417237.1258
23-Aug,,411819.3067,421646.7567
23-Sep,,414017.3273,426025.3966
23-Oct,,415916.7489,430406.7071
23-Nov,,417536.0989,434791.191
23-Dec,,418813.074,439092.1641
24-Jan,,419720.0377,443173.2999
24-Feb,,420170.2646,446931.7073
24-Mar,,420227.3679,450425.8283
24-Apr,,419942.6085,453698.9452
24-May,,419338.7975,456775.3082
24-Jun,,418430.7658,459684.5536
24-Jul,,417308.5326,462529.1417
24-Aug,,415880.7129,465222.8516
24-Sep,,414135.8892,467674.3211
24-Oct,,412021.4578,469810.1984
24-Nov,,409484.3459,471706.0377
