,time,housing_price,rental_price,inflation_rate,median_house_value,median_tax_paid,property_tax_rate,median_age_homebuyers,housing_starts,interest_rate,mortgage_rate,mortgage_to_income_rate,work_home_rate
1171,01/1980,,77.8,76.7,,,,,1341.0,13.82,12.87,4.375714,
1170,01/1980,,77.8,76.7,,,,,1341.0,13.82,12.9,4.375714,
1169,01/1980,,77.8,76.7,,,,,1341.0,13.82,12.85,4.375714,
1172,01/1980,,77.8,76.7,,,,,1341.0,13.82,12.89,4.375714,
1221,01/1981,,84.9,85.4,,,,,1547.0,19.08,14.95,4.596082,
1222,01/1981,,84.9,85.4,,,,,1547.0,19.08,14.8,4.596082,
1223,01/1981,,84.9,85.4,,,,,1547.0,19.08,14.85,4.596082,
1224,01/1981,,84.9,85.4,,,,,1547.0,19.08,14.85,4.596082,
1225,01/1981,,84.9,85.4,,,,,1547.0,19.08,15.07,4.596082,
1274,01/1982,,92.0,93.3,,,,,843.0,13.22,17.3,4.884527,
1276,01/1982,,92.0,93.3,,,,,843.0,13.22,17.61,4.884527,
1277,01/1982,,92.0,93.3,,,,,843.0,13.22,17.59,4.884527,
1275,01/1982,,92.0,93.3,,,,,843.0,13.22,17.44,4.884527,
1329,01/1983,,98.1,97.6,,,,,1586.0,8.68,13.1,4.850575,
1327,01/1983,,98.1,97.6,,,,,1586.0,8.68,13.31,4.850575,
1326,01/1983,,98.1,97.6,,,,,1586.0,8.68,13.46,4.850575,
1328,01/1983,,98.1,97.6,,,,,1586.0,8.68,13.12,4.850575,
1379,01/1984,,102.6,102.5,,,,,1897.0,9.56,13.4,4.895675,
1380,01/1984,,102.6,102.5,,,,,1897.0,9.56,13.35,4.895675,
1381,01/1984,,102.6,102.5,,,,,1897.0,9.56,13.29,4.895675,
1378,01/1984,,102.6,102.5,,,,,1897.0,9.56,13.43,4.895675,
1430,01/1985,,108.6,107.1,,,,,1711.0,8.35,13.1,5.22003,
1431,01/1985,,108.6,107.1,,,,,1711.0,8.35,13.12,5.22003,
1432,01/1985,,108.6,107.1,,,,,1711.0,8.35,13.12,5.22003,
1433,01/1985,,108.6,107.1,,,,,1711.0,8.35,12.96,5.22003,
1482,01/1986,,115.5,111.9,,,,,1972.0,8.14,10.81,5.504987,
1483,01/1986,,115.5,111.9,,,,,1972.0,8.14,10.77,5.504987,
1484,01/1986,,115.5,111.9,,,,,1972.0,8.14,10.99,5.504987,
1485,01/1986,,115.5,111.9,,,,,1972.0,8.14,10.97,5.504987,
1486,01/1986,,115.5,111.9,,,,,1972.0,8.14,10.89,5.504987,
1534,01/1987,,121.3,115.9,,,,,1774.0,6.43,9.37,5.705198,
1537,01/1987,,121.3,115.9,,,,,1774.0,6.43,9.04,5.705198,
1536,01/1987,,121.3,115.9,,,,,1774.0,6.43,9.21,5.705198,
1535,01/1987,,121.3,115.9,,,,,1774.0,6.43,9.32,5.705198,
1538,01/1987,,121.3,115.9,,,,,1774.0,6.43,9.08,5.705198,
1588,01/1988,,126.0,120.9,,,,,1271.0,6.83,10.53,5.734042,
1590,01/1988,,126.0,120.9,,,,,1271.0,6.83,10.16,5.734042,
1589,01/1988,,126.0,120.9,,,,,1271.0,6.83,10.34,5.734042,
1587,01/1988,,126.0,120.9,,,,,1271.0,6.83,10.5,5.734042,
1642,01/1989,,130.5,126.5,,,,,1621.0,9.12,10.6,5.75387,
1641,01/1989,,130.5,126.5,,,,,1621.0,9.12,10.71,5.75387,
1640,01/1989,,130.5,126.5,,,,,1621.0,9.12,10.81,5.75387,
1639,01/1989,,130.5,126.5,,,,,1621.0,9.12,10.8,5.75387,
1693,01/1990,,135.8,132.1,,,,,1551.0,8.23,9.9,6.013543,
1694,01/1990,,135.8,132.1,,,,,1551.0,8.23,10.05,6.013543,
1691,01/1990,,135.8,132.1,,,,,1551.0,8.23,9.83,6.013543,
1692,01/1990,,135.8,132.1,,,,,1551.0,8.23,9.8,6.013543,
1745,01/1991,,141.2,139.5,,,,,798.0,6.91,9.75,6.222793,
1744,01/1991,,141.2,139.5,,,,,798.0,6.91,9.63,6.222793,
1743,01/1991,,141.2,139.5,,,,,798.0,6.91,9.56,6.222793,
1746,01/1991,,141.2,139.5,,,,,798.0,6.91,9.61,6.222793,
1798,01/1992,,145.4,145.1,,,,,1176.0,4.03,8.56,5.988402,
1796,01/1992,,145.4,145.1,,,,,1176.0,4.03,8.23,5.988402,
1799,01/1992,,145.4,145.1,,,,,1176.0,4.03,8.68,5.988402,
1797,01/1992,,145.4,145.1,,,,,1176.0,4.03,8.45,5.988402,
1795,01/1992,,145.4,145.1,,,,,1176.0,4.03,8.24,5.988402,
1849,01/1993,,148.9,150.1,,,,,1210.0,3.02,8.04,5.766582,
1850,01/1993,,148.9,150.1,,,,,1210.0,3.02,8.0,5.766582,
1848,01/1993,,148.9,150.1,,,,,1210.0,3.02,8.07,5.766582,
1851,01/1993,,148.9,150.1,,,,,1210.0,3.02,7.86,5.766582,
1901,01/1994,,152.2,154.5,,,,,1272.0,3.05,6.99,5.556527,
1900,01/1994,,152.2,154.5,,,,,1272.0,3.05,7.23,5.556527,
1902,01/1994,,152.2,154.5,,,,,1272.0,3.05,7.05,5.556527,
1903,01/1994,,152.2,154.5,,,,,1272.0,3.05,6.97,5.556527,
1955,01/1995,,156.1,159.0,,,,,1407.0,5.53,9.13,5.640501,
1954,01/1995,,156.1,159.0,,,,,1407.0,5.53,9.05,5.640501,
1953,01/1995,,156.1,159.0,,,,,1407.0,5.53,9.19,5.640501,
1952,01/1995,,156.1,159.0,,,,,1407.0,5.53,9.22,5.640501,
2006,01/1996,,160.0,163.7,,,,,1467.0,5.56,7.02,5.589139,
2005,01/1996,,160.0,163.7,,,,,1467.0,5.56,7.08,5.589139,
2004,01/1996,,160.0,163.7,,,,,1467.0,5.56,7.02,5.589139,
2007,01/1996,,160.0,163.7,,,,,1467.0,5.56,7.0,5.589139,
2057,01/1997,,164.4,167.8,,,,,1355.0,5.25,7.85,5.603136,
2058,01/1997,,164.4,167.8,,,,,1355.0,5.25,7.87,5.603136,
2059,01/1997,,164.4,167.8,,,,,1355.0,5.25,7.85,5.603136,
2060,01/1997,,164.4,167.8,,,,,1355.0,5.25,7.88,5.603136,
