,time,housing_price,rental_price,inflation_rate,property_tax_rate,median_age_homebuyers,housing_starts,interest_rate,mortgage_rate,mortgage_to_income_rate,work_home_rate,diff_housing_price,diff_rental_price,diff_inflation_rate,diff_property_tax_rate,diff_median_age_homebuyers,diff_housing_starts,diff_mortgage_rate,diff_mortgage_to_income_rate,diff_work_home_rate,diff_interest_rate
12,2005-01-01,188439.0,214.5,199.0,0.96358209,40.0,2144.0,2.28,5.71,6.236844,6.0,-27.0,-0.10000000000002274,0.10000000000002274,0.0,1.0,102.0,-0.041999999999999815,-0.24418199999999946,0.0,2.28
13,2005-02-01,190047.0,215.0,199.4,0.96358209,40.0,2207.0,2.5,5.6275,6.236844,6.0,76.0,-0.09999999999999432,0.0,0.0,0.0,63.0,-0.08249999999999957,0.0,0.0,2.5
14,2005-03-01,191717.0,215.5,200.1,0.96358209,40.0,1864.0,2.63,5.928,6.284713,6.0,62.0,0.0,0.29999999999998295,0.0,0.0,-343.0,0.30049999999999955,0.04786900000000038,0.0,2.63
15,2005-04-01,193635.0,216.0,200.2,0.96358209,40.0,2061.0,2.79,5.855,6.284713,6.0,248.0,0.0,-0.5999999999999943,0.0,0.0,197.0,-0.07299999999999951,-0.04786900000000038,0.0,2.79
16,2005-05-01,195631.0,216.4,200.5,0.96358209,40.0,2025.0,3.0,5.72,6.284713,6.0,78.0,-0.09999999999999432,0.20000000000001705,0.0,0.0,-36.0,-0.13500000000000068,0.0,0.0,3.0
17,2005-06-01,197712.0,216.8,200.6,0.96358209,40.0,2068.0,3.04,5.582,6.403871,6.0,85.0,0.0,-0.20000000000001705,0.0,0.0,43.0,-0.1379999999999999,0.11915799999999965,0.0,3.04
18,2005-07-01,199768.0,217.5,200.9,0.96358209,40.0,2054.0,3.26,5.695,6.403871,6.0,-25.0,0.29999999999998295,0.20000000000001705,0.0,0.0,-14.0,0.11300000000000043,-0.11915799999999965,0.0,3.26
19,2005-08-01,201839.0,218.0,201.1,0.940604752,40.0,2095.0,3.5,5.82,6.403871,6.0,15.0,-0.19999999999998863,-0.10000000000002274,-0.022977337999999903,0.0,41.0,0.125,0.0,0.0,3.5
20,2005-09-01,203839.0,218.6,201.3,0.940604752,40.0,2151.0,3.62,5.774,6.497914,6.0,-71.0,0.09999999999999432,2.842170943040401e-14,0.0,0.0,56.0,-0.04600000000000026,0.0940430000000001,0.0,3.62
21,2005-10-01,205699.0,219.3,202.0,0.940604752,40.0,2065.0,3.78,6.065,6.497914,6.0,-140.0,0.10000000000002274,0.4999999999999716,0.0,0.0,-86.0,0.29100000000000037,-0.0940430000000001,0.0,3.78
22,2005-11-01,207361.0,220.0,202.5,0.940604752,40.0,2147.0,4.0,6.33,6.497914,6.0,-198.0,-2.842170943040401e-14,-0.19999999999998863,0.0,0.0,82.0,0.2649999999999997,0.0,0.0,4.0
23,2005-12-01,208851.0,220.5,202.8,0.940604752,40.0,1994.0,4.16,6.272,6.52826,6.0,-172.0,-0.19999999999998863,-0.19999999999998863,0.0,0.0,-153.0,-0.05799999999999983,0.03034600000000065,0.0,4.16
24,2006-01-01,210111.0,220.9,203.2,0.940604752,41.0,2273.0,4.29,6.145,6.52826,6.0,-230.0,-0.09999999999999432,0.0999999999999659,0.0,1.0,279.0,-0.12700000000000067,-0.03034600000000065,0.0,4.29
25,2006-02-01,211329.0,221.6,203.6,0.940604752,41.0,2119.0,4.49,6.2525,6.52826,6.0,-42.0,0.29999999999998295,2.842170943040401e-14,0.0,0.0,-154.0,0.10750000000000082,0.0,0.0,4.49
26,2006-03-01,212601.0,222.3,204.3,0.940604752,41.0,1969.0,4.59,6.324,6.694844,6.0,54.0,2.842170943040401e-14,0.30000000000001137,0.0,0.0,-150.0,0.07149999999999945,0.1665839999999994,0.0,4.59
27,2006-04-01,213980.0,222.9,204.8,0.940604752,41.0,1821.0,4.79,6.5075,6.694844,6.0,107.0,-0.10000000000002274,-0.20000000000001705,0.0,0.0,-148.0,0.18350000000000044,-0.1665839999999994,0.0,4.79
28,2006-05-01,215294.0,223.6,205.4,0.940604752,41.0,1942.0,4.94,6.5975,6.694844,6.0,-65.0,0.09999999999999432,0.09999999999999432,0.0,0.0,121.0,0.08999999999999986,0.0,0.0,4.94
29,2006-06-01,216398.0,224.4,205.9,0.940604752,41.0,1802.0,4.99,6.6819999999999995,6.848394,6.0,-210.0,0.10000000000002274,-0.09999999999999432,0.0,0.0,-140.0,0.08449999999999935,0.15355000000000008,0.0,4.99
